FiscalYear,CurrencyName,SalesTerritoryGroup,SalesTerritoryCountry,SalesTerritoryRegion,ResellerName,ProductLine,Color,ListPrice,EnglishProductName,SalesTotal
2006,Canadian Dollar,North America,Canada,Canada,Acceptable Sales & Service,R ,Black,699.0982,"Road-650 Black, 52",419.4589
2006,Canadian Dollar,North America,Canada,Canada,Acceptable Sales & Service,R ,Red,699.0982,"Road-650 Red, 44",419.4589
2006,Canadian Dollar,North America,Canada,Canada,Acceptable Sales & Service,R ,Red,699.0982,"Road-650 Red, 62",419.4589
2006,Canadian Dollar,North America,Canada,Canada,Certified Sports Supply,M ,Black,3374.99,"Mountain-100 Black, 38",4049.988
2006,Canadian Dollar,North America,Canada,Canada,Certified Sports Supply,M ,Silver,3399.99,"Mountain-100 Silver, 38",4079.988
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Black,297.6346,"LL Road Frame - Black, 52",1071.4848
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Black,297.6346,"LL Road Frame - Black, 58",535.7424
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,306.5636,"LL Road Frame - Red, 44",1287.5674
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,306.5636,"LL Road Frame - Red, 48",367.8764
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,306.5636,"LL Road Frame - Red, 60",1655.4438
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,306.5636,"LL Road Frame - Red, 62",919.691
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,594.83,"ML Road Frame - Red, 48",1427.592
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,3578.27,"Road-150 Red, 44",17175.696
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,3578.27,"Road-150 Red, 48",17175.696
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,3578.27,"Road-150 Red, 52",12881.772
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,3578.27,"Road-150 Red, 56",19322.658
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,3578.27,"Road-150 Red, 62",8587.848
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,1457.99,"Road-450 Red, 44",8747.94
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,1457.99,"Road-450 Red, 48",6123.558
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,1457.99,"Road-450 Red, 52",6998.352
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,1457.99,"Road-450 Red, 58",11372.322
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Red,1457.99,"Road-450 Red, 60",9622.734
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Black,699.0982,"Road-650 Black, 44",3775.1301
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Black,699.0982,"Road-650 Black, 48",2516.7534
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Black,699.0982,"Road-650 Black, 52",3775.1301
2006,Canadian Dollar,North America,Canada,Canada,Corner Bicycle Supply,R ,Black,699.0982,"Road-650 Black, 58",2936.2123
